['bravo', 3, 1, ['tarse', 'knowd', 'bravo'], [[[0, 't', -1], [1, 'a', 0], [2, 'r', 0], [3, 's', -1], [4, 'e', -1]], [[0, 'k', -1], [1, 'n', -1], [2, 'o', 0], [3, 'w', -1], [4, 'd', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'a', 1], [3, 'v', 1], [4, 'o', 1]]]]
['brawl', 3, 1, ['tarse', 'knowd', 'brawl'], [[[0, 't', -1], [1, 'a', 0], [2, 'r', 0], [3, 's', -1], [4, 'e', -1]], [[0, 'k', -1], [1, 'n', -1], [2, 'o', -1], [3, 'w', 1], [4, 'd', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'a', 1], [3, 'w', 1], [4, 'l', 1]]]]
['brawn', 3, 1, ['tarse', 'knowd', 'brawn'], [[[0, 't', -1], [1, 'a', 0], [2, 'r', 0], [3, 's', -1], [4, 'e', -1]], [[0, 'k', -1], [1, 'n', 0], [2, 'o', -1], [3, 'w', 1], [4, 'd', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'a', 1], [3, 'w', 1], [4, 'n', 1]]]]
['bread', 3, 1, ['tarse', 'gurks', 'bread'], [[[0, 't', -1], [1, 'a', 0], [2, 'r', 0], [3, 's', -1], [4, 'e', 0]], [[0, 'g', -1], [1, 'u', -1], [2, 'r', 0], [3, 'k', -1], [4, 's', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'e', 1], [3, 'a', 1], [4, 'd', 1]]]]
['break', 3, 1, ['tarse', 'gurks', 'break'], [[[0, 't', -1], [1, 'a', 0], [2, 'r', 0], [3, 's', -1], [4, 'e', 0]], [[0, 'g', -1], [1, 'u', -1], [2, 'r', 0], [3, 'k', 0], [4, 's', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'e', 1], [3, 'a', 1], [4, 'k', 1]]]]
['breed', 3, 1, ['tarse', 'wizzo', 'breed'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', 0], [3, 's', -1], [4, 'e', 0]], [[0, 'w', -1], [1, 'i', -1], [2, 'z', -1], [3, 'z', -1], [4, 'o', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'e', 1], [3, 'e', 1], [4, 'd', 1]]]]
['briar', 3, 1, ['tarse', 'knowd', 'briar'], [[[0, 't', -1], [1, 'a', 0], [2, 'r', 0], [3, 's', -1], [4, 'e', -1]], [[0, 'k', -1], [1, 'n', -1], [2, 'o', -1], [3, 'w', -1], [4, 'd', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'i', 1], [3, 'a', 1], [4, 'r', 1]]]]
['bribe', 3, 1, ['tarse', 'ahind', 'bribe'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', 0], [3, 's', -1], [4, 'e', 1]], [[0, 'a', -1], [1, 'h', -1], [2, 'i', 1], [3, 'n', -1], [4, 'd', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'i', 1], [3, 'b', 1], [4, 'e', 1]]]]
['brick', 3, 1, ['tarse', 'dykon', 'brick'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', 0], [3, 's', -1], [4, 'e', -1]], [[0, 'd', -1], [1, 'y', -1], [2, 'k', 0], [3, 'o', -1], [4, 'n', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'i', 1], [3, 'c', 1], [4, 'k', 1]]]]
['bride', 3, 1, ['tarse', 'ahind', 'bride'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', 0], [3, 's', -1], [4, 'e', 1]], [[0, 'a', -1], [1, 'h', -1], [2, 'i', 1], [3, 'n', -1], [4, 'd', 0]], [[0, 'b', 1], [1, 'r', 1], [2, 'i', 1], [3, 'd', 1], [4, 'e', 1]]]]
